"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Pregnancy cortisol","IPF(2a)-III","488","2.52","3.26","-0.58","-0.58","0 (-0.08, 0.07)","0.93","0.97","-0.49","-0.51","-0.01 (-0.1, 0.07)","0.78","0.94"
"4","","2,3-dinor-iPF(2α)-III","488","2.52","3.26","1.6","1.6","0 (-0.04, 0.04)","0.97","0.97","1.64","1.65","0 (-0.04, 0.05)","0.91","0.94"
"5","","iPF(2α)-VI","488","2.52","3.26","2.34","2.36","0.02 (-0.04, 0.08)","0.51","0.97","2.48","2.52","0.03 (-0.03, 0.1)","0.31","0.67"
"6","","8,12-iso-iPF(2a)-VII","488","2.52","3.26","2.29","2.28","-0.01 (-0.09, 0.06)","0.76","0.97","2.33","2.3","-0.03 (-0.19, 0.12)","0.71","0.94"
"7","","Combined urinary oxidative stress biomarkers","488","2.52","3.26","2.65","2.66","0 (-0.1, 0.11)","0.97","0.97","2.83","2.84","0 (-0.11, 0.12)","0.94","0.94"
"8","","Mean change in cortisol","486","2.48","3.25","-0.01","-0.01","0 (0, 0.01)","0.02","0.19","-0.01","-0.01","0 (0, 0.01)","0.04","0.18"
"9","","Pre-stressor salivary cortisol","534","2.53","3.27","-2.17","-2.21","-0.03 (-0.24, 0.18)","0.79","0.97","-2.07","-2.1","-0.03 (-0.17, 0.11)","0.68","0.94"
"10","","Post-stressor salivary cortisol","491","2.49","3.24","-1.12","-1.47","-0.35 (-0.62, -0.07)","0.01","0.19","-1.06","-1.32","-0.26 (-0.47, -0.05)","0.02","0.11"
"11","","Mean change in sAA","500","2.52","3.27","-2.42","-2.19","0.23 (-0.42, 0.87)","0.5","0.97","-2.93","-2.28","0.66 (-0.51, 1.82)","0.27","0.67"
"12","","Pre-stressor sAA","532","2.53","3.27","4.03","4.05","0.03 (-0.08, 0.13)","0.64","0.97","4.03","4.05","0.03 (-0.09, 0.14)","0.65","0.94"
"13","","Post-stressor sAA","507","2.53","3.26","4.44","4.42","-0.02 (-0.18, 0.14)","0.83","0.97","4.42","4.4","-0.01 (-0.19, 0.16)","0.88","0.94"
"14","","Mean Arterial Pressure","535","2.53","3.27","64.63","64.21","-0.42 (-1.26, 0.42)","0.33","0.97","65.2","64.53","-0.66 (-1.61, 0.28)","0.17","0.64"
"15","","Mean resting heart rate","537","2.53","3.27","109.98","108.04","-1.94 (-4.15, 0.26)","0.08","0.42","112.52","109.37","-3.15 (-5.66, -0.63)","0.01","0.11"
"16","","Overall mean methylation of GCR","532","2.53","3.27","0.31","0.29","-0.02 (-0.06, 0.02)","0.28","0.97","0.44","0.41","-0.03 (-0.07, 0.02)","0.24","0.67"
"17","","Methylation of CpG#12","279","2.61","3.27","-4.31","-4.33","-0.02 (-0.09, 0.05)","0.55","0.97","-4.38","-4.4","-0.02 (-0.1, 0.05)","0.56","0.94"
