"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","CRP","IPF(2a)-III","492","-0.01","1.42","-0.49","-0.5","-0.01 (-0.11, 0.09)","0.8","0.87"
"4","","2,3-dinor-iPF(2α)-III","490","0","1.42","1.65","1.64","-0.01 (-0.07, 0.04)","0.59","0.8"
"5","","iPF(2α)-VI","493","0","1.42","2.52","2.48","-0.03 (-0.09, 0.02)","0.19","0.59"
"6","","8,12-iso-iPF(2a)-VII","490","-0.02","1.43","2.36","2.33","-0.03 (-0.1, 0.03)","0.33","0.64"
"7","","Combined urinary oxidative stress biomarkers","493","0","1.42","2.89","2.83","-0.06 (-0.15, 0.03)","0.2","0.59"
"8","","Mean change in cortisol","489","-0.15","1.4","-0.01","-0.01","0 (0, 0)","0.75","0.87"
"9","","Pre-stressor salivary cortisol","537","-0.08","1.42","-2.01","-2.05","-0.04 (-0.19, 0.11)","0.58","0.8"
"10","","Post-stressor salivary cortisol","492","-0.15","1.41","-1.23","-1.28","-0.04 (-0.16, 0.08)","0.49","0.72"
"11","","Mean change in sAA","505","0","1.41","-3.3","-3.3","0 (0, 0)","0.02","0.31"
"12","","Pre-stressor sAA","534","-0.08","1.42","3.97","4.07","0.1 (0, 0.2)","0.04","0.31"
"13","","Post-stressor sAA","512","-0.01","1.42","4.37","4.44","0.07 (-0.04, 0.18)","0.2","0.59"
"14","","Mean Arterial Pressure","540","-0.08","1.41","63.76","65.29","1.53 (0.06, 3)","0.04","0.31"
"15","","Mean resting heart rate","542","-0.08","1.42","111.63","111.39","-0.22 (-2.54, 2.09)","0.86","0.89"
"16","","Overall mean methylation of GCR","537","-0.05","1.42","0.45","0.42","-0.03 (-0.06, 0.01)","0.14","0.59"
"17","","Methylation of CpG#12","282","-0.04","1.32","-4.4","-4.24","0.16 (-0.01, 0.33)","0.07","0.38"
"18","","","","","","","","","",""
"19","AGP","IPF(2a)-III","492","-1.12","-0.54","-0.48","-0.51","-0.02 (-0.08, 0.03)","0.42","0.71"
"20","","2,3-dinor-iPF(2α)-III","490","-1.13","-0.54","1.62","1.66","0.04 (-0.02, 0.1)","0.22","0.59"
"21","","iPF(2α)-VI","493","-1.14","-0.54","2.5","2.47","-0.03 (-0.09, 0.03)","0.32","0.64"
"22","","8,12-iso-iPF(2a)-VII","490","-1.13","-0.54","2.38","2.33","-0.04 (-0.15, 0.07)","0.44","0.72"
"23","","Combined urinary oxidative stress biomarkers","493","-1.14","-0.54","2.87","2.82","-0.04 (-0.15, 0.07)","0.47","0.72"
"24","","Mean change in cortisol","489","-1.14","-0.58","-0.01","-0.01","0 (0, 0)","0.83","0.89"
"25","","Pre-stressor salivary cortisol","537","-1.14","-0.58","-2.08","-2.05","0.03 (-0.04, 0.1)","0.47","0.72"
"26","","Post-stressor salivary cortisol","492","-1.14","-0.58","-1.23","-1.34","-0.1 (-0.33, 0.13)","0.39","0.71"
"27","","Mean change in sAA","505","-1.11","-0.58","-2.98","-2.48","0.5 (-0.35, 1.35)","0.25","0.59"
"28","","Pre-stressor sAA","534","-1.11","-0.58","3.98","4.02","0.04 (-0.15, 0.22)","0.71","0.87"
"29","","Post-stressor sAA","512","-1.11","-0.58","4.37","4.42","0.05 (-0.04, 0.15)","0.26","0.59"
"30","","Mean Arterial Pressure","540","-1.12","-0.58","64.09","64.47","0.38 (-0.25, 1)","0.24","0.59"
"31","","Mean resting heart rate","542","-1.13","-0.58","111.27","109.2","-2.03 (-5.55, 1.5)","0.26","0.59"
"32","","Overall mean methylation of GCR","537","-1.11","-0.58","0.45","0.42","-0.03 (-0.06, 0)","0.04","0.31"
"33","","Methylation of CpG#12","282","-1.11","-0.6","-4.41","-4.4","0.01 (-0.05, 0.07)","0.74","0.87"
"34","","","","","","","","","",""
"35","IFNG","IPF(2a)-III","405","5.19","9.9","-0.53","-0.42","0.11 (-0.04, 0.25)","0.15","0.59"
"36","","2,3-dinor-iPF(2α)-III","405","5.19","9.9","1.63","1.66","0.03 (-0.04, 0.09)","0.41","0.71"
"37","","iPF(2α)-VI","405","5.19","9.9","2.44","2.41","-0.03 (-0.16, 0.11)","0.71","0.87"
"38","","8,12-iso-iPF(2a)-VII","404","5.18","9.92","2.2","2.19","-0.01 (-0.11, 0.08)","0.78","0.87"
"39","","Combined urinary oxidative stress biomarkers","405","5.19","9.9","2.72","2.71","-0.01 (-0.17, 0.15)","0.9","0.92"
"40","","Mean change in cortisol","466","5.22","10.04","-0.01","-0.01","0 (0, 0)","0.76","0.87"
"41","","Pre-stressor salivary cortisol","506","5.2","10.18","-2","-2.14","-0.14 (-0.33, 0.06)","0.16","0.59"
"42","","Post-stressor salivary cortisol","470","5.22","10","-1.26","-1.26","0 (-0.11, 0.11)","0.98","0.98"
"43","","Mean change in sAA","474","5.28","10.18","-1.59","-2.71","-1.13 (-1.88, -0.37)","0","0.21"
"44","","Pre-stressor sAA","504","5.21","10.12","4.1","4.04","-0.06 (-0.14, 0.03)","0.18","0.59"
"45","","Post-stressor sAA","480","5.29","10.21","4.46","4.44","-0.02 (-0.24, 0.2)","0.86","0.89"
"46","","Mean Arterial Pressure","509","5.2","10.12","64.44","64.19","-0.25 (-0.9, 0.39)","0.45","0.72"
"47","","Mean resting heart rate","510","5.2","10.13","111.7","109.85","-1.85 (-3.4, -0.29)","0.02","0.31"
