"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Estriol","IPF(2a)-III","487","0.73","1.72","-0.51","-0.49","0.01 (-0.06, 0.09)","0.75"
"4","","2,3-dinor-iPF(2α)-III","485","0.73","1.71","1.69","1.65","-0.04 (-0.11, 0.03)","0.27"
"5","","iPF(2α)-VI","488","0.72","1.71","2.48","2.51","0.02 (-0.03, 0.08)","0.46"
"6","","8,12-iso-iPF(2a)-VII","485","0.73","1.71","2.21","2.24","0.03 (-0.16, 0.21)","0.81"
"7","","Combined urinary oxidative stress biomarkers","488","0.72","1.71","2.77","2.85","0.08 (-0.09, 0.26)","0.36"
"8","","Mean change in cortisol","484","0.73","1.71","-0.01","-0.01","0 (0, 0)","0.83"
"9","","Pre-stressor salivary cortisol","532","0.78","1.73","-2.08","-2.09","-0.01 (-0.11, 0.08)","0.82"
"10","","Post-stressor salivary cortisol","487","0.74","1.71","-1.23","-1.27","-0.03 (-0.15, 0.08)","0.59"
"11","","Mean change in sAA","500","0.78","1.74","-3.02","-3.03","-0.01 (-0.32, 0.3)","0.94"
"12","","Pre-stressor sAA","529","0.78","1.73","4.04","4.06","0.02 (-0.25, 0.28)","0.9"
"13","","Post-stressor sAA","507","0.78","1.73","4.4","4.44","0.03 (-0.07, 0.14)","0.54"
"14","","Mean Arterial Pressure","535","0.78","1.74","64.51","64.08","-0.43 (-1.16, 0.29)","0.24"
"15","","Mean resting heart rate","537","0.78","1.73","111.61","109.43","-2.18 (-4, -0.37)","0.02"
"16","","Overall mean methylation of GCR","532","0.78","1.73","0.43","0.41","-0.02 (-0.06, 0.02)","0.33"
"17","","Methylation of CpG#12","279","0.86","1.76","-4.38","-4.43","-0.05 (-0.12, 0.02)","0.14"
